total price NTD,the unit price (NTD / square meter),main building area,auxiliary building area,balcony area
66000000,257370.0,193.1,24.7,38.64
147000000,516509.0,152.96,8.54,10.19
38000000,310922.0,65.48,5.55,6.53
27580000,350000.0,42.07,2.62,4.68
27300000,266954.0,54.56,1.73,5.69
35000000,192329.0,97.08,1.3,13.73
17000000,306306.0,31.52,1.39,3.65
10500000,125164.0,42.23,8.12,3.79
24180000,145374.0,90.97,3.51,9.32
18680000,199936.0,75.96,0.7,8.81
27800000,189686.0,66.96,7.23,6.38
23000000,257559.0,52.06,5.04,4.62
17880000,184864.0,50.97,17.5,8.37
25770000,203169.0,61.81,2.04,6.89
58000000,298693.0,104.37,4.11,10.5
24500000,130988.0,124.1,4.53,14.25
67300000,239088.0,145.7,14.57,10.75
24500000,92300.0,155.88,15.93,11.46
24860000,184790.0,77.02,4.99,6.65
23200000,235032.0,68.66,1.46,3.59
27250000,250990.0,75.29,10.79,8.81
9580000,236602.0,23.6,1.5,3.23
42880000,186576.0,112.5,7.34,20.08
38600000,300179.0,52.65,2.35,4.96
13400000,133400.0,75.77,5.99,18.69
12250000,182292.0,43.31,0.42,3.06
45380000,221339.0,109.89,9.6,11.88
18480000,175349.0,33.89,18.31,5.72
40000000,220313.0,121.95,6.13,7.43
38770000,302188.0,65.25,4.95,8.92
17000000,257264.0,37.57,1.55,4.05
23010000,194243.0,56.49,7.88,15.86
12800000,267895.0,26.84,1.33,3.08
10300000,304104.0,22.85,1.41,2.94
7600000,214932.0,20.03,0.49,3.04
18000000,223682.0,46.07,3.15,2.92
15630000,287369.0,30.89,1.46,3.54
8400000,158431.0,25.09,0.79,2.43
17750000,232512.0,44.8,2.45,3.44
17500000,262630.0,33.67,0.92,2.22
39300000,185535.0,98.06,2.43,10.57
14780000,217866.0,26.29,0.92,4.54
43000000,232911.0,82.41,12.44,6.46
49000000,244647.0,115.02,7.3,13.43
19580000,253463.0,36.27,1.76,4.41
21300000,219814.0,44.34,1.13,7.98
29550000,158666.0,102.54,2.15,13.02
41680000,210938.0,101.18,11.77,19.52
22800000,179344.0,98.39,5.26,10.63
50000000,177148.0,148.43,7.27,13.51
38500000,329690.0,62.66,1.28,7.78
49080000,231161.0,121.41,3.68,16.0
37500000,188206.0,122.02,2.76,12.26
114200000,432642.0,131.53,8.27,16.15
32300000,220921.0,92.32,0.75,13.57
47980000,216476.0,112.25,6.91,11.28
47000000,273153.0,99.18,3.67,6.33
39650000,271862.0,86.63,3.97,6.44
43680000,296195.0,86.88,5.02,7.44
53200000,266708.0,110.32,8.07,8.93
51680000,293934.0,100.1,3.63,8.18
